258722,243675,0.328962,2.25014
520092,108590,-2.2473,-1.85679
383024,88405.6,2.14516,-1.95635
39507.6,35365.1,0.47046,-1.16445
225430,26878.2,-2.81608,-2.25938
1.06946e+06,751597,0.858186,-1.84217
457647,110079,2.10287,2.17501
49649.1,30875.2,-1.03189,-1.7992
676000,640429,0.33045,0.704554
1.2393e+06,602104,1.34324,-0.550856
193865,44825.7,-2.14231,-0.965933
28217.2,24926.6,-0.454264,0.516676
936707,616229,0.973383,-1.56592
75998,52304.3,0.905489,-0.806736
640313,589524,0.390749,1.23734
332790,126272,1.61998,-1.85524
583373,545730,0.364057,-1.60732
123709,88206.3,0.867744,1.4266
47443.5,46891.6,-0.00150656,2.45598
91381.2,38861.6,-1.49279,-0.164922
37600.4,31288.8,0.624681,-0.910782
28297.8,26177.9,-0.371397,-2.41833
89818,39684.6,-1.44745,-1.27892
138391,37875.3,-1.9682,3.10888
36828.8,33693.9,-0.397339,-0.917239
725985,520934,0.84413,0.958992
160570,79422.9,1.31774,3.08902
127675,28650.7,-2.17201,2.55359
537343,529153,0.137884,-2.33127
558479,300022,1.22869,0.900615
396737,309154,0.726839,1.14318
291455,234114,-0.685843,2.38049
125503,123705,-0.0631803,-0.190811
39267.9,37879.7,0.05628,1.41777
33299.2,27813.6,0.609665,0.457269
60190.4,25060.9,-1.51968,-0.427073
1.05556e+06,1.05246e+06,-0.0320456,-2.67977
265270,32603.2,2.7853,0.915776
625006,587880,0.22586,2.25768
118802,59376.1,1.30631,1.76663
464379,365191,-0.692061,-1.26353
242899,130603,-1.22776,-1.99661
303643,121020,1.56791,-0.618577
163165,37092,2.16014,-1.17486
44777,32217,-0.850257,2.09905
522824,411351,-0.716307,0.954073
506999,161394,1.80817,2.56868
72409.2,67555.4,-0.331235,-0.681056
483221,371787,-0.754554,2.58584
388914,346583,-0.476305,-1.09533
104482,100633,0.0515449,-0.350064
722624,704199,-0.219317,-1.96891
106984,71343.5,-0.957648,-2.39408
267397,51333.6,-2.33361,-3.02705
534575,529280,-0.111663,-1.16549
437028,158349,-1.67229,0.991625
51260.3,44105.6,0.537332,-1.60678
84372.9,43277.6,1.27981,-1.9447
456467,26612.2,-3.53427,1.73038
498926,496904,0.0577043,-0.208137
144898,113339,-0.719641,0.601117
84404.9,82808.6,0.163234,-2.83561
1.31123e+06,384930,1.89568,1.61223
149712,113604,-0.763686,2.7407
89616.4,74095.6,0.621493,-2.4097
41207.6,34963.2,-0.567864,-1.41972
2.01959e+06,990555,1.33227,-2.5772
209754,198384,0.329607,0.990548
380664,61243.9,2.51245,-1.05481
752700,45738.4,-3.49279,-2.09955
47281.6,45335.4,-0.264682,-1.47046
676587,565498,-0.611223,0.91399
375918,317763,0.570805,0.844619
1.40349e+06,655310,-1.3919,-1.2087
397771,391036,-0.0431479,-2.67217
274121,211069,-0.753259,0.821227
326774,103781,-1.81083,2.8251
166237,75907.3,-1.41593,1.51757
106044,72818.4,0.91515,1.60007
815050,678926,-0.612176,-0.340187
100931,96013.3,0.102464,-0.897444
278641,25898.8,3.06639,0.312306
563461,518250,-0.373418,-2.40458
236838,59513,2.05376,1.00509
62484,43137.9,-0.913133,0.729353
566770,529363,-0.368119,-1.09293
226385,89217.1,1.58178,0.832402
137208,75952.8,-1.18717,0.467469
